# Teff   logg   Av   Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G_EDR3   Gaia_BP_EDR3   Gaia_RP_EDR3   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y     
  3500.0   -0.5     0.0    -6.490027   -3.896664   -1.883376   -0.795445   0.273503    -0.996707     -2.17033       0.065002       0.602787    1.061278   1.727888   2.629024   2.90556    -5.344498   -2.804229   -1.087635   -0.251705   0.199735    0.372226    -7.123136   -2.830783   -1.226442   -0.369231   0.073041    0.331529   
  3500.0   0.0      0.0    -6.121206   -3.77125    -1.889032   -0.830818   0.268612    -1.010725     -2.177642      0.051888       0.599567    1.05183    1.719315   2.649625   2.908452   -5.240966   -2.748794   -1.13386    -0.25975    0.199106    0.369037    -6.753883   -2.776178   -1.272593   -0.383955   0.070211    0.33295    
  3500.0   0.5      0.0    -5.763788   -3.67222    -1.914023   -0.873405   0.265382    -1.027993     -2.200972      0.04017        0.600045    1.050482   1.718054   2.666915   2.907798   -5.11106    -2.718296   -1.189339   -0.266552   0.203171    0.372524    -6.397229   -2.747017   -1.330748   -0.397813   0.070848    0.340175   
  3500.0   1.0      0.0    -5.426235   -3.589637   -1.946672   -0.914959   0.265524    -1.043468     -2.229443      0.032457       0.60462     1.056132   1.723082   2.680286   2.902902   -4.960483   -2.701815   -1.244599   -0.269944   0.211835    0.381907    -6.062375   -2.731932   -1.39016    -0.407903   0.075477    0.352507   
  3500.0   1.5      0.0    -5.117308   -3.512312   -1.97411    -0.946411   0.272076    -1.051127     -2.250815      0.032311       0.615007    1.068606   1.733915   2.688691   2.89232    -4.799803   -2.686872   -1.289194   -0.266485   0.226187    0.397399    -5.758717   -2.718062   -1.438946   -0.410181   0.08598     0.370322   
  3500.0   2.0      0.0    -4.844654   -3.432689   -1.986146   -0.96085    0.287895    -1.046283     -2.255602      0.042657       0.63307     1.087792   1.749907   2.690433   2.874258   -4.642115   -2.663893   -1.315089   -0.253092   0.247445    0.419261    -5.493742   -2.695587   -1.467831   -0.401276   0.104359    0.394122   
  3500.0   2.5      0.0    -4.613594   -3.345905   -1.973118   -0.951256   0.316293    -1.024174     -2.235026      0.06675        0.661116    1.113718   1.770005   2.682639   2.846513   -4.498517   -2.625234   -1.314169   -0.226232   0.277109    0.447904    -5.271793   -2.656663   -1.467572   -0.377426   0.133036    0.424585   
  3500.0   3.0      0.0    -4.42472    -3.244541   -1.904468   -0.889534   0.368096    -0.966993     -2.160257      0.117475       0.707348    1.147673   1.786388   2.649321   2.801711   -4.36862    -2.551861   -1.251753   -0.173349   0.320678    0.485453    -5.088818   -2.581414   -1.401143   -0.324205   0.180467    0.464252   
  3500.0   3.5      0.0    -4.247114   -3.106956   -1.741669   -0.740614   0.454589    -0.852008     -1.994316      0.21026        0.779399    1.190963   1.791705   2.550551   2.722783   -4.229735   -2.413154   -1.084335   -0.080365   0.383051    0.533729    -4.910604   -2.438311   -1.223564   -0.22404    0.254461    0.514978   
  3500.0   4.0      0.0    -4.121709   -2.994489   -1.597424   -0.607216   0.52171     -0.753473     -1.84743       0.285971       0.832572    1.218138   1.790954   2.451931   2.649972   -4.13356    -2.294558   -0.932348   -0.005891   0.426977    0.564787    -4.785888   -2.31561    -1.062247   -0.141517   0.309074    0.547849   
  3500.0   4.5      0.0    -4.091001   -2.948563   -1.525265   -0.535532   0.558653    -0.701001     -1.77253       0.326799       0.861055    1.229222   1.790441   2.40554    2.610016   -4.113297   -2.243485   -0.853201   0.035496    0.449745    0.578683    -4.757382   -2.262099   -0.976371   -0.096817   0.338288    0.563416   
  3500.0   5.0      0.0    -4.173037   -2.965309   -1.498561   -0.497364   0.57582     -0.677019     -1.743125      0.345866       0.871968    1.22426    1.786521   2.391968   2.595389   -4.173496   -2.24551    -0.812196   0.056736    0.456023    0.576517    -4.839382   -2.262252   -0.929851   -0.074602   0.349442    0.563388   
  3750.0   -1.0     0.0    -6.229135   -3.361745   -1.341215   -0.357927   0.458033    -0.666036     -1.648022      0.297019       0.725969    1.1393     1.727993   2.456872   2.702528   -5.224169   -2.258463   -0.592228   -0.036882   0.297066    0.444104    -6.891253   -2.273619   -0.70962    -0.105832   0.202877    0.395375   
  3750.0   -0.5     0.0    -5.848907   -3.200592   -1.293711   -0.351589   0.44964     -0.657448     -1.600569      0.288649       0.712204    1.110181   1.703891   2.479281   2.711325   -5.119077   -2.159019   -0.585375   -0.043769   0.282545    0.422929    -6.507631   -2.17284    -0.696913   -0.114012   0.189979    0.379267   
  3750.0   0.0      0.0    -5.480815   -3.071421   -1.268323   -0.352874   0.444104    -0.653462     -1.570551      0.281556       0.703287    1.088502   1.68556    2.497732   2.716453   -4.982527   -2.090816   -0.587806   -0.048686   0.273662    0.408685    -6.137116   -2.103679   -0.695817   -0.121212   0.181774    0.369941   
  3750.0   0.5      0.0    -5.140403   -2.97177    -1.260448   -0.360862   0.44082     -0.654015     -1.555447      0.275145       0.698427    1.073363   1.672624   2.513246   2.719317   -4.823346   -2.049157   -0.598547   -0.052398   0.269384    0.400098    -5.795317   -2.06138    -0.704613   -0.128083   0.177444    0.365985   
  3750.0   1.0      0.0    -4.840374   -2.895823   -1.265523   -0.374557   0.43944     -0.658423     -1.552177      0.269154       0.697021    1.064048   1.66474    2.526249   2.720478   -4.65638    -2.027592   -0.616565   -0.055268   0.268953    0.396298    -5.495251   -2.039452   -0.721725   -0.134879   0.176379    0.366391   
  3750.0   1.5      0.0    -4.586456   -2.837172   -1.279257   -0.392268   0.440319    -0.665165     -1.557314      0.264145       0.699027    1.06033    1.661806   2.536799   2.719941   -4.497572   -2.019571   -0.640068   -0.056751   0.272221    0.397079    -5.243301   -2.031292   -0.745067   -0.140888   0.17859     0.370844   
  3750.0   2.0      0.0    -4.378065   -2.790036   -1.297352   -0.411421   0.444394    -0.672001     -1.567034      0.261401       0.704864    1.062252   1.663836   2.54429    2.716897   -4.358803   -2.01903    -0.666216   -0.055585   0.279495    0.402633    -5.039376   -2.030752   -0.771607   -0.144601   0.184564    0.379505   
  3750.0   2.5      0.0    -4.21101    -2.749576   -1.315042   -0.428243   0.453216    -0.675924     -1.576793      0.262925       0.715485    1.07012    1.670941   2.547744   2.709907   -4.245473   -2.020609   -0.690922   -0.049869   0.291574    0.413501    -4.879216   -2.032367   -0.796985   -0.143839   0.195331    0.392983   
  3750.0   3.0      0.0    -4.079589   -2.711412   -1.324749   -0.435364   0.46978     -0.671605     -1.579192      0.272636       0.733061    1.08478    1.682547   2.543935   2.695644   -4.155923   -2.018148   -0.705785   -0.036005   0.310278    0.430869    -4.755417   -2.0298     -0.812352   -0.134423   0.213164    0.412604   
  3750.0   3.5      0.0    -3.967238   -2.671666   -1.300288   -0.403887   0.505675    -0.639068     -1.549933      0.306705       0.767059    1.110578   1.690102   2.509994   2.659398   -4.067152   -1.995315   -0.676318   2.24E-4     0.343222    0.459864    -4.644647   -2.006221   -0.783322   -0.099245   0.247707    0.443598   
  3750.0   4.0      0.0    -3.835577   -2.61217    -1.231075   -0.328073   0.56234     -0.573302     -1.478871      0.367467       0.817882    1.146995   1.693508   2.424086   2.591029   -3.953618   -1.935744   -0.595436   0.06087     0.39044     0.500001    -4.509706   -1.945403   -0.702616   -0.03535    0.299421    0.485549   
  3750.0   4.5      0.0    -3.723527   -2.556807   -1.170682   -0.264373   0.607675    -0.518332     -1.416774      0.416701       0.857854    1.174804   1.696212   2.339584   2.528005   -3.862541   -1.8809     -0.527317   0.110063    0.427115    0.530596    -4.397113   -1.889481   -0.634121   0.016871    0.34007     0.517504   
  3750.0   5.0      0.0    -3.69552    -2.541288   -1.147015   -0.233321   0.632708    -0.491642     -1.390543      0.442251       0.879476    1.188036   1.699084   2.300181   2.495341   -3.843713   -1.866232   -0.496306   0.137301    0.446594    0.545665    -4.370742   -1.873937   -0.602141   0.044577    0.361918    0.533857   
  4000.0   -1.0     0.0    -5.357252   -2.83978    -0.981918   -0.116057   0.581464    -0.453772     -1.306448      0.4383         0.806652    1.174267   1.697038   2.317327   2.517394   -4.920225   -1.812894   -0.334327   0.099915    0.362769    0.487107    -6.048759   -1.825403   -0.434402   0.052191    0.289461    0.439761   
  4000.0   -0.5     0.0    -5.024224   -2.686463   -0.932627   -0.110622   0.568256    -0.444391     -1.256809      0.426661       0.789613    1.144867   1.673708   2.33641    2.525919   -4.778044   -1.712004   -0.327606   0.088271    0.344379    0.462712    -5.711788   -1.723614   -0.421425   0.039916    0.273017    0.418924   
  4000.0   0.0      0.0    -4.685981   -2.561458   -0.903389   -0.109919   0.559146    -0.438071     -1.222199      0.417974       0.777515    1.121776   1.654842   2.352035   2.530943   -4.600785   -1.639602   -0.326499   0.08062     0.331871    0.445378    -5.370866   -1.650371   -0.416724   0.031018    0.261514    0.40544    
  4000.0   0.5      0.0    -4.370435   -2.464483   -0.889906   -0.112208   0.553264    -0.434604     -1.20011       0.411695       0.769288    1.103795   1.639808   2.365267   2.534162   -4.40604    -1.592829   -0.329022   0.075997    0.32383     0.433365    -5.053921   -1.602745   -0.417534   0.024806    0.253846    0.397416   
  4000.0   1.0      0.0    -4.097251   -2.391278   -0.887571   -0.116262   0.549639    -0.433482     -1.187467      0.40714        0.76391     1.089888   1.628021   2.376398   2.536312   -4.215005   -1.566541   -0.333828   0.073313    0.31902     0.425204    -4.780096   -1.57556    -0.421766   0.020378    0.248934    0.393252   
  4000.0   1.5      0.0    -3.876683   -2.336687   -0.892244   -0.121089   0.547832    -0.43388      -1.181296      0.403995       0.760904    1.079506   1.619277   2.385594   2.537758   -4.046937   -1.555326   -0.339924   0.071994    0.316781    0.420039    -4.55975    -1.563403   -0.427842   0.017255    0.246258    0.391964   
  4000.0   2.0      0.0    -3.711566   -2.297076   -0.901328   -0.126408   0.547424    -0.435419     -1.179786      0.401837       0.759836    1.072223   1.613412   2.392768   2.538594   -3.914916   -1.555181   -0.347091   0.071507    0.316554    0.417238    -4.396025   -1.5623     -0.435161   0.014901    0.245379    0.392765   
  4000.0   2.5      0.0    -3.597906   -2.269194   -0.912944   -0.131773   0.548975    -0.437327     -1.181475      0.401032       0.761098    1.06832    1.61073    2.397924   2.538702   -3.823116   -1.562711   -0.355024   0.072356    0.318616    0.417045    -4.285174   -1.568879   -0.443254   0.013746    0.246731    0.395781   
  4000.0   3.0      0.0    -3.52806    -2.250851   -0.926      -0.136797   0.55324     -0.43892      -1.185416      0.402108       0.765287    1.068218   1.611532   2.400789   2.537405   -3.768544   -1.575685   -0.36349    0.075296    0.323512    0.419975    -4.219287   -1.580926   -0.451804   0.014412    0.250959    0.401499   
  4000.0   3.5      0.0    -3.491186   -2.239992   -0.938242   -0.138959   0.562842    -0.437707     -1.189415      0.40763        0.774753    1.073678   1.616246   2.398785   2.531831   -3.741504   -1.591352   -0.369937   0.083145    0.333512    0.428059    -4.186363   -1.595688   -0.458328   0.019699    0.260471    0.412055   
  4000.0   4.0      0.0    -3.453022   -2.235154   -0.93767    -0.124102   0.588788    -0.421396     -1.183905      0.430591       0.800401    1.092902   1.62043    2.370477   2.505107   -3.700871   -1.598622   -0.357687   0.10859     0.358762    0.450192    -4.145962   -1.602274   -0.447877   0.043415    0.28634     0.436339   
  4000.0   4.5      0.0    -3.375561   -2.221028   -0.915808   -0.088645   0.629384    -0.387027     -1.160517      0.470586       0.839736    1.122884   1.621566   2.303238   2.451403   -3.620048   -1.584178   -0.321974   0.150487    0.396558    0.483416    -4.061973   -1.587503   -0.415113   0.085254    0.326118    0.471429   
  4000.0   5.0      0.0    -3.295495   -2.198861   -0.891791   -0.055768   0.664607    -0.355045     -1.134689      0.505434       0.873322    1.148411   1.623733   2.232122   2.398793   -3.547128   -1.563239   -0.28895    0.186955    0.428615    0.511441    -3.979251   -1.566285   -0.383781   0.121851    0.36006     0.500941   
  4250.0   -1.0     0.0    -4.444008   -2.410688   -0.725105   0.054382    0.673905    -0.293625     -1.051995      0.541187       0.860649    1.181974   1.64676    2.185461   2.342882   -4.468265   -1.474948   -0.15619    0.203433    0.40703     0.511837    -5.153664   -1.485596   -0.244343   0.168659    0.349518    0.470987   
  4250.0   -0.5     0.0    -4.183353   -2.272385   -0.678569   0.056775    0.656034    -0.285842     -1.004393      0.525491       0.841322    1.153449   1.625552   2.200144   2.351425   -4.312717   -1.380637   -0.152483   0.186075    0.385373    0.484434    -4.890777   -1.390836   -0.233704   0.150966    0.330324    0.445152   
  4250.0   0.0      0.0    -3.905345   -2.157342   -0.648571   0.055104    0.642898    -0.280414     -0.969655      0.513287       0.827261    1.131211   1.608183   2.211156   2.355667   -4.122693   -1.309298   -0.153586   0.173617    0.370201    0.464761    -4.610701   -1.319071   -0.230419   0.137485    0.316477    0.427722   
  4250.0   0.5      0.0    -3.638692   -2.067058   -0.632761   0.050855    0.633765    -0.277451     -0.94658       0.504171       0.81729     1.113887   1.594201   2.220478   2.358065   -3.919908   -1.260094   -0.157777   0.165251    0.359889    0.450884    -4.342876   -1.269424   -0.232294   0.127778    0.306771    0.416521   
